hospital_id,Hospital
178,Adkins Plc
179,Adkins Sons And
180,"Adkins Torres Graves, And"
181,"Adkins Wade Simmons, And"
182,"Adkins, And Morrow Russo"
183,"Adkins, Garcia Pratt And"
184,"Adkins, Guerrero And Kelly"
185,"Adkins, Logan And Johnson"
186,Adkins-Avila
187,Adkins-Black
188,Adkins-Cantu
189,Adkins-Carter
190,Adkins-Cox
191,Adkins-Gonzalez
192,Adkins-Griffin
193,Adkins-Holmes
194,Adkins-Jackson
195,Adkins-Martin
196,Adkins-Scott
197,"Aguilar Adams, And Morrison"
198,"Aguilar Aguilar Tyler, And"
199,"Aguilar Cardenas And Frederick,"
200,Aguilar Group
201,"Aguilar Guzman, And Pratt"
202,Aguilar Inc
203,"Aguilar Kim And Baker,"
204,"Aguilar Klein, Thompson And"
205,"Aguilar Lawson And Joseph,"
206,Aguilar Ltd
207,"Aguilar Miller, Allen And"
208,"Aguilar Mullins And Schmidt,"
209,Aguilar Plc
210,Aguilar Sons And
211,"Aguilar, And Dean Williams"
212,"Aguilar, And Wilson Perez"
213,"Aguilar, Castaneda And Johnson"
214,"Aguilar, Schwartz And Molina"
215,"Aguilar, Spencer Sanders And"
216,Aguilar-Bass
217,Aguilar-Blake
218,Aguilar-Conley
219,Aguilar-Ellison
220,Aguilar-Freeman
221,Aguilar-Guzman
222,Aguilar-Harris
223,Aguilar-Hill
224,Aguilar-Howard
225,Aguilar-Leonard
226,Aguilar-Lopez
227,Aguilar-Lowery
228,Aguilar-Martinez
229,Aguilar-Moreno
230,Aguilar-Parsons
231,Aguilar-Pearson
232,Aguilar-Scott
233,Aguilar-Silva
234,Aguilar-Vega
235,Aguilar-Waller
236,"Aguirre Bell, And Ramsey"
237,Aguirre Group
238,Aguirre Llc
239,Aguirre Ltd
240,"Aguirre Turner, Reed And"
241,Aguirre-Christensen
242,Aguirre-Davis
243,Aguirre-Edwards
244,Aguirre-Graves
245,Aguirre-Pennington
246,Aguirre-Perkins
247,Aguirre-Pugh
248,Aguirre-Rodriguez
249,Aguirre-Sims
250,Aguirre-Wang
251,Aguirre-Williams
252,"Alexander And Castillo, Mason"
253,"Alexander And Graham Jennings,"
254,"Alexander And Jensen Andrews,"
255,Alexander Group
256,"Alexander Hays, And Hernandez"
257,Alexander Inc
258,Alexander Ltd
259,"Alexander Martinez, Love And"
260,"Alexander Patton, Lowery And"
261,Alexander Plc
262,"Alexander Simmons And Martinez,"
263,"Alexander Turner, Stout And"
264,"Alexander Wagner And Hill,"
265,"Alexander Williams And Dixon,"
266,"Alexander, And Ewing Lopez"
267,"Alexander, And Norris Williams"
268,"Alexander, Baker Howell And"
269,"Alexander, Morris And Hayes"
270,"Alexander, Schneider And Wilson"
271,Alexander-Austin
272,Alexander-Bradley
273,Alexander-Brady
274,Alexander-Brooks
275,Alexander-Cantu
276,Alexander-Duncan
277,Alexander-Gallagher
278,Alexander-George
279,Alexander-Howard
280,Alexander-Lopez
281,Alexander-Manning
282,Alexander-Mcdaniel
283,Alexander-Middleton
284,Alexander-Moore
285,Alexander-Murphy
286,Alexander-Nichols
287,Alexander-Oconnor
288,Alexander-Sanchez
289,Alexander-Saunders
290,Alexander-Silva
291,Alexander-Smith
292,Alexander-Snyder
293,Alexander-Soto
294,Alexander-Stone
295,Alexander-Villa
296,Alexander-Walker
297,Alexander-White
298,"Ali And Chambers, Dawson"
299,"Ali And Cox Johnson,"
300,Ali And Sons
301,"Ali And Vargas Montes,"
302,"Ali Fischer And Howe,"
303,Ali Group
304,Ali Plc
305,Ali Sons And
306,"Ali, Cooper Gilbert And"
307,Ali-Adams
308,Ali-Baird
309,Ali-Byrd
310,Ali-Harris
311,Ali-James
312,Ali-Marsh
313,Ali-Warren
314,"Allen And Bell, Bell"
315,"Allen And Blackwell Morgan,"
316,"Allen And Decker, Gonzales"
317,"Allen And Duncan Wright,"
318,"Allen And Gray, Scott"
319,"Allen And Ho Wheeler,"
320,"Allen And Hodge Williams,"
321,"Allen And Holmes Schmidt,"
322,"Allen And Holt, Ford"
323,"Allen And Kelly Garrett,"
324,"Allen And Moore Holmes,"
325,"Allen And Page Graves,"
326,"Allen And Smith Tran,"
327,Allen And Sons
328,"Allen And Taylor, Matthews"
329,"Allen And Valdez, Cantrell"
330,"Allen And Warren Johnson,"
331,"Allen And Wilson Rollins,"
332,"Allen Baker, Ross And"
333,"Allen Black, And Collins"
334,"Allen Campbell, And Hurst"
335,"Allen Carney And Heath,"
336,"Allen Castro And Hill,"
337,"Allen Davis Todd, And"
338,"Allen Decker Taylor, And"
339,"Allen Garcia And Wolf,"
340,"Allen Garcia, Johnson And"
341,"Allen Gonzales And Hill,"
342,Allen Group
343,"Allen Harrington Grant, And"
344,"Allen Hurst, Gonzalez And"
345,Allen Inc
346,"Allen Johnson, Meyers And"
347,Allen Llc
348,Allen Ltd
349,"Allen Orr, And Frye"
350,"Allen Parker And Estes,"
351,"Allen Payne, Hamilton And"
352,"Allen Pearson And Kaiser,"
353,"Allen Pitts, Bryan And"
354,Allen Plc
355,"Allen Rodriguez, And Stewart"
356,Allen Sons And
357,"Allen Sparks And Soto,"
358,"Allen Stanley, Woods And"
359,"Allen Thompson, And Mcdonald"
360,"Allen Watson And Robinson,"
361,"Allen Watson Nguyen, And"
362,"Allen, And Barnes Smith"
363,"Allen, And Blackwell Taylor"
364,"Allen, And Fischer Richardson"
365,"Allen, And Jackson Harrell"
366,"Allen, And Jensen Hurley"
367,"Allen, And Parker Lynch"
368,"Allen, And Rodriguez Randolph"
369,"Allen, And Velasquez Wilcox"
370,"Allen, Cantu Orozco And"
371,"Allen, Chaney Rice And"
372,"Allen, Cross And Collins"
373,"Allen, Davies And Mcintyre"
374,"Allen, Frank Moore And"
375,"Allen, Harrell Schmidt And"
376,"Allen, Jackson And Brown"
377,"Allen, Jackson And Walker"
378,"Allen, Jenkins Mcknight And"
379,"Allen, Johns And Holland"
380,"Allen, Johnson And Cooper"
381,"Allen, Miller And Reed"
382,"Allen, Quinn Mitchell And"
383,"Allen, Turner And Allen"
384,"Allen, Wall And Wade"
385,"Allen, Williams And Phillips"
386,Allen-Allen
387,Allen-Anderson
388,Allen-Austin
389,Allen-Baker
390,Allen-Bond
391,Allen-Brown
392,Allen-Byrd
393,Allen-Campbell
394,Allen-Cherry
395,Allen-Cooke
396,Allen-Copeland
397,Allen-Cowan
398,Allen-Crawford
399,Allen-Cunningham
400,Allen-Davenport
401,Allen-Deleon
402,Allen-Duran
403,Allen-Evans
404,Allen-Ferguson
405,Allen-Fisher
406,Allen-Ford
407,Allen-Foster
408,Allen-French
409,Allen-Garcia
410,Allen-Gomez
411,Allen-Gray
412,Allen-Hall
413,Allen-Hernandez
414,Allen-Hill
415,Allen-Hoffman
416,Allen-Holland
417,Allen-Horn
418,Allen-Horne
419,Allen-Howell
420,Allen-James
421,Allen-Johnson
422,Allen-Jones
423,Allen-Leon
424,Allen-Lowery
425,Allen-Lynch
426,Allen-Marshall
427,Allen-Mcguire
428,Allen-Mckee
429,Allen-Moore
430,Allen-Morales
431,Allen-Mueller
432,Allen-Newton
433,Allen-Nguyen
434,Allen-Ortiz
435,Allen-Parrish
436,Allen-Perez
437,Allen-Powers
438,Allen-Price
439,Allen-Ramos
440,Allen-Rice
441,Allen-Rich
442,Allen-Robertson
443,Allen-Rodriguez
444,Allen-Russell
445,Allen-Sawyer
446,Allen-Scott
447,Allen-Smith
448,Allen-Spence
449,Allen-Spencer
450,Allen-Sullivan
451,Allen-Taylor
452,Allen-Torres
453,Allen-Tucker
454,Allen-Tyler
455,Allen-Wallace
456,Allen-Walsh
457,Allen-Wilson
458,Allen-Wood
459,Allison Llc
460,Allison Ltd
461,Allison Plc
462,"Allison Price Williams, And"
463,"Allison Rodgers Sullivan, And"
464,"Allison Strong And Nixon,"
465,"Allison, And Cruz Moore"
466,Allison-Bailey
467,Allison-Black
468,Allison-Cameron
469,Allison-Moore
470,Allison-Walters
471,Allison-Williams
472,"Alvarado And Myers Smith,"
473,Alvarado Inc
474,Alvarado Llc
475,"Alvarado Mcmahon And Guerra,"
476,Alvarado Plc
477,"Alvarado Richard And Brown,"
478,"Alvarado Sullivan Miller, And"
479,Alvarado-Allen
480,Alvarado-Bradley
481,Alvarado-Carroll
482,Alvarado-Deleon
483,Alvarado-Delgado
484,Alvarado-Elliott
485,Alvarado-Gonzalez
486,Alvarado-Lopez
487,Alvarado-Martin
488,Alvarado-Meza
489,Alvarado-Prince
490,Alvarado-Scott
491,Alvarado-Smith
492,"Alvarez And James, Mcintosh"
493,"Alvarez And Mullins, Barajas"
494,"Alvarez And Sanchez Taylor,"
495,"Alvarez And York Rocha,"
496,"Alvarez Austin Snyder, And"
497,"Alvarez Clark, And Francis"
498,"Alvarez Garcia, And Watkins"
499,Alvarez Group
500,"Alvarez Hayes Guzman, And"
501,Alvarez Inc
502,Alvarez Llc
503,Alvarez Ltd
504,"Alvarez Maldonado, And Oconnor"
505,"Alvarez Moss Smith, And"
506,Alvarez Plc
507,Alvarez Sons And
508,"Alvarez Wilson And Fry,"
509,"Alvarez, And Lewis Jennings"
510,"Alvarez, Rogers And Kennedy"
511,"Alvarez, Ross And Hurst"
512,"Alvarez, Vasquez And Price"
513,Alvarez-Blair
514,Alvarez-Chavez
515,Alvarez-Craig
516,Alvarez-Cruz
517,Alvarez-Flynn
518,Alvarez-Griffith
519,Alvarez-Guerrero
520,Alvarez-Harris
521,Alvarez-Hays
522,Alvarez-Henry
523,Alvarez-Martin
524,Alvarez-Mathews
525,Alvarez-Miranda
526,Alvarez-Nunez
527,Alvarez-Olson
528,Alvarez-Payne
529,Alvarez-Perry
530,Alvarez-Quinn
531,Alvarez-Robinson
532,Alvarez-Rogers
533,Alvarez-Shelton
534,Alvarez-Smith
535,Alvarez-Valentine
536,Alvarez-Vargas
537,Alvarez-Young
538,Alvarez-Zamora
539,"And Abbott Campbell Palmer,"
540,"And Abbott Gross, Anderson"
541,"And Acevedo, James Ho"
542,"And Acosta, George Silva"
543,"And Adams Bautista, Roberts"
544,"And Adams Brown, Fuller"
545,"And Adams Brown, Love"
546,"And Adams Chavez Camacho,"
547,"And Adams Cole, Payne"
548,"And Adams Figueroa, Edwards"
549,"And Adams Hunt Bennett,"
550,"And Adams Martin, Sosa"
551,"And Adams Martin, Thomas"
552,"And Adams Morgan Livingston,"
553,"And Adams Orr Jones,"
554,"And Adams Reilly, Taylor"
555,"And Adams Rodriguez Hill,"
556,"And Adams Russo, Sexton"
557,And Adams Sons
558,"And Adams Walls Knight,"
559,"And Adams, Black Villegas"
560,"And Adams, Booker Buckley"
561,"And Adams, Evans Hill"
562,"And Adams, Graham Higgins"
563,"And Adams, Harris Kennedy"
564,"And Adams, Johns Duncan"
565,"And Adams, Johnston Brock"
566,"And Adams, Martin Franklin"
567,"And Adams, Patton Carter"
568,"And Adams, Perry Fitzpatrick"
569,"And Adams, Smith Gonzalez"
570,"And Adkins Bolton Manning,"
571,"And Adkins Porter, Benton"
572,"And Adkins Woods, Lowery"
573,"And Aguilar Carney, Cohen"
574,And Aguilar Sons
575,"And Aguirre Smith Williams,"
576,And Aguirre Sons
577,"And Alexander Crawford Graham,"
578,"And Alexander Espinoza Stone,"
579,"And Alexander Ferguson Munoz,"
580,"And Alexander Hall Powers,"
581,"And Alexander Hanson Johnson,"
582,"And Alexander Hunter, Thompson"
583,"And Alexander Knight Smith,"
584,"And Alexander Mullins, Hampton"
585,"And Alexander Wilkins, Baker"
586,"And Ali Snyder Hughes,"
587,"And Allen Anderson, Rivera"
588,"And Allen Bryant Carlson,"
589,"And Allen Conley Rhodes,"
590,"And Allen James Wolf,"
591,"And Allen Jennings, Branch"
592,"And Allen Mitchell, Soto"
593,"And Allen Reeves, Gross"
594,And Allen Sons
595,"And Allen Torres, Rice"
596,"And Allen Wright Ward,"
597,"And Allen, Baker Castro"
598,"And Allen, Davis Phillips"
599,"And Allen, Gonzales Johnston"
600,"And Allen, Jenkins Robinson"
601,"And Allen, Porter Edwards"
602,"And Allen, Roberts Evans"
603,"And Allen, Taylor Bennett"
604,"And Allen, Zavala Collins"
605,"And Alvarado Grant May,"
606,"And Alvarado Thomas Acosta,"
607,"And Alvarado, Nelson Wright"
608,"And Alvarez Banks, Munoz"
609,"And Alvarez Gilmore Wheeler,"
610,"And Alvarez Jennings Roberts,"
611,"And Alvarez Johnson, Nguyen"
612,"And Alvarez Lee Gay,"
613,And Alvarez Sons
614,"And Alvarez Stevens Cox,"
615,"And Alvarez Torres Osborn,"
616,"And Alvarez Tran, Ortiz"
617,"And Alvarez, Choi Jackson"
618,"And Alvarez, Cox Powers"
619,"And Alvarez, Perkins Russell"
620,"And Andersen Edwards, Martinez"
621,"And Andersen Miller Jones,"
622,"And Andersen Strickland Ingram,"
623,"And Andersen, Molina Garcia"
624,"And Anderson Boyd Bennett,"
625,"And Anderson Boyd, Hardy"
626,"And Anderson Donaldson Aguilar,"
627,"And Anderson Flowers, Tucker"
628,"And Anderson Gentry, Esparza"
629,"And Anderson Gonzalez, Waters"
630,"And Anderson Hartman Flores,"
631,"And Anderson Irwin Whitney,"
632,"And Anderson Kennedy, Owens"
633,"And Anderson Lindsey Burgess,"
634,"And Anderson Lopez, Mitchell"
635,"And Anderson Mendez, Ortiz"
636,"And Anderson Middleton, King"
637,"And Anderson Nichols Whitaker,"
638,"And Anderson Smith Sanchez,"
639,And Anderson Sons
640,"And Anderson Turner Henderson,"
641,"And Anderson Williams Harrison,"
642,"And Anderson, Berry Franklin"
643,"And Anderson, Huff Ford"
644,"And Anderson, Hull Simon"
645,"And Anderson, Porter Becker"
646,"And Anderson, Richards Benson"
647,"And Anderson, Scott Nelson"
648,"And Anderson, Smith Carr"
649,"And Anderson, Smith Woods"
650,"And Anderson, Stephens Rowe"
651,"And Anderson, Woods Woods"
652,"And Andrews Cole, Garcia"
653,"And Andrews Miranda Watson,"
654,"And Andrews, Armstrong Padilla"
655,"And Andrews, Flores Brady"
656,"And Anthony Hays Medina,"
657,"And Anthony Nelson, Griffith"
658,"And Anthony, Valdez Tapia"
659,"And Arellano Anderson, Bruce"
660,"And Arellano Parks Meyer,"
661,"And Arellano, Caldwell Mathis"
662,"And Arellano, Gill Jackson"
663,"And Arias, Hogan May"
664,"And Armstrong Ayers, Horne"
665,"And Armstrong Johnson, Foster"
666,And Armstrong Sons
667,"And Armstrong, Blair Zimmerman"
668,"And Armstrong, Taylor Burns"
669,"And Arnold Anderson, White"
670,"And Arnold Johnson Mccullough,"
671,"And Arnold Johnson, Edwards"
672,"And Arnold Meadows, Rivas"
673,"And Arnold Morales, Gonzales"
674,And Arnold Sons
675,"And Arnold Watkins Fleming,"
676,"And Arnold, Phillips Fox"
677,"And Ashley Decker, Hays"
678,"And Ashley Washington, Neal"
679,"And Atkins Barnes, Hall"
680,"And Atkins Hayden Hopkins,"
681,"And Atkins Mcintosh, Sanders"
682,And Atkins Sons
683,"And Atkins, Kelly Torres"
684,"And Atkinson Blevins, Stevens"
685,"And Atkinson Hanson Henry,"
686,"And Atkinson Perez, Allen"
687,"And Atkinson Wilson, Torres"
688,And Austin Sons
689,"And Avery, Jarvis Hopkins"
690,"And Avila Johnson Wood,"
691,"And Avila, Moss Caldwell"
692,"And Avila, Oconnor Brown"
693,"And Ayala Miller, Wilson"
694,"And Ayers King, Smith"
695,"And Ayers Swanson, Greer"
696,"And Ayers, Vazquez Rivers"
697,"And Bailey Barnes Vasquez,"
698,"And Bailey Dickerson Dalton,"
699,"And Bailey Douglas Davis,"
700,"And Bailey Garcia Spencer,"
701,"And Bailey Jones Robinson,"
702,"And Bailey Kennedy, Morales"
703,"And Bailey Martin, Graham"
704,"And Bailey Martin, Smith"
705,"And Bailey Meza, Jones"
706,"And Bailey Munoz, Hernandez"
707,"And Bailey Phillips, Wright"
708,"And Bailey Ramos, Webster"
709,"And Bailey Sawyer, Weiss"
710,"And Bailey Shea, Krause"
711,"And Bailey Thompson, Jacobs"
712,"And Bailey Williams Melton,"
713,"And Bailey, Baker Lewis"
714,"And Bailey, Martinez Cook"
715,"And Baird, Simmons Peters"
716,"And Baker Burns, Mccarthy"
717,"And Baker Davis, Brooks"
718,"And Baker Donovan Sherman,"
719,"And Baker Jones, Wilson"
720,"And Baker Kennedy Fuentes,"
721,"And Baker Rodriguez, Cameron"
722,"And Baker Salazar, Gonzalez"
723,And Baker Sons
724,"And Baker, Anderson Powell"
725,"And Baker, Combs Hill"
726,"And Baker, Elliott Olson"
727,"And Baker, Golden Rhodes"
728,"And Baker, Thompson Shelton"
729,"And Baldwin Lopez, Stewart"
730,"And Baldwin Mcneil, Simmons"
731,"And Baldwin Walker, Campbell"
732,"And Baldwin, King Stephens"
733,"And Baldwin, Wheeler Burns"
734,"And Ball Aguilar, Norton"
735,"And Ball Osborn, Horton"
736,"And Ball Ray, Hoffman"
737,"And Ball, Robinson Wade"
738,"And Banks Price, Chambers"
739,"And Barajas Jimenez, Daniel"
740,"And Barajas Santos, Jones"
741,"And Barber Johnson Coleman,"
742,"And Barber Johnson Rowe,"
743,"And Barber Schwartz Carr,"
744,"And Barker, Hill Sellers"
745,"And Barnes Cook Klein,"
746,"And Barnes Hubbard Dillon,"
747,"And Barnes James Williams,"
748,"And Barnes Scott Black,"
749,"And Barnes Stanley Murray,"
750,"And Barnes Thompson, Lopez"
751,"And Barnes, Deleon Williams"
752,"And Barnett Bradley, Henderson"
753,"And Barnett Ferguson, Palmer"
754,"And Barnett Sanders, Williams"
755,And Barnett Sons
756,"And Barnett, Quinn Stewart"
757,"And Barr, Bailey Davis"
758,"And Barrera Allen Burke,"
759,"And Barrera Anderson, Dunn"
760,"And Barrett Beck, Smith"
761,"And Barrett Scott Johnson,"
762,And Barrett Sons
763,"And Barrett, Crawford Williams"
764,"And Barrett, Johnson Estes"
765,"And Barrett, Johnson Miller"
766,"And Barrett, Parks Brown"
767,"And Barrett, Russell Phillips"
768,"And Barron Williams Castro,"
769,"And Barron, Norton Farmer"
770,"And Barry Duran Hall,"
771,"And Barry Smith, Sexton"
772,"And Barry White, Jones"
773,"And Bartlett Keller Wolfe,"
774,"And Barton Miller White,"
775,And Barton Sons
776,"And Barton, Patterson Burton"
777,"And Bates Meyer, Hernandez"
778,"And Bates Smith Wade,"
779,"And Bauer Bowman, Lutz"
780,"And Bauer Stevens Li,"
781,"And Bautista Webb, Wilson"
782,"And Bautista, Elliott Reyes"
783,"And Bautista, Johnson Allen"
784,"And Baxter Johnson Stanley,"
785,"And Baxter, Bradshaw Stanton"
786,"And Bean Sanchez Mills,"
787,"And Beard Carlson, Ortiz"
788,"And Beard, Sherman Vasquez"
789,"And Beasley, Daniel Johnson"
790,"And Beasley, White Sandoval"
791,"And Beck Morgan, Shaw"
792,"And Beck Peterson, Perez"
793,"And Beck Reyes Clarke,"
794,"And Beck, Scott Leblanc"
795,"And Becker Baker Owens,"
796,"And Becker Holmes Espinoza,"
797,"And Bell Dawson, Moore"
798,"And Bell Jones, Montes"
799,"And Bell Mcknight, Davis"
800,"And Bell Murphy, Harrell"
801,"And Bell Perry, Moore"
802,"And Bell Roberts, Walters"
803,"And Bell Sharp, Meyer"
804,And Bell Sons
805,"And Bell, Martin Johnson"
806,"And Bell, Richards Burton"
807,"And Beltran Lucas, Lee"
808,And Beltran Sons
809,"And Beltran, Church Arroyo"
810,"And Bender Shaffer, Henry"
811,"And Bender, Christian Le"
812,"And Benitez, Martinez Fry"
813,"And Benjamin Jones, Allison"
814,"And Bennett Ferguson, Flores"
815,"And Bennett Holland Davis,"
816,"And Bennett Lee, Moody"
817,And Bennett Sons
818,"And Bennett Walker Johnston,"
819,"And Bennett White, Patterson"
820,"And Bennett, Campbell Stewart"
821,"And Bennett, Davis Rice"
822,"And Bennett, Gardner Stone"
823,"And Benson Allen Moran,"
824,"And Benson Harper, Wallace"
825,"And Benson, Patton Conner"
826,"And Bentley Farmer, Richardson"
827,"And Bentley Hall Johnson,"
828,And Bentley Sons
829,And Benton Sons
830,"And Benton Stewart, Moore"
831,"And Berg Molina Dennis,"
832,"And Berger Perry, Calhoun"
833,"And Berger Terry, Franklin"
834,"And Berger, Lopez Williams"
835,"And Berger, Ramsey Lopez"
836,"And Bernard Miller, Hampton"
837,"And Berry, Nguyen Hudson"
838,"And Bird Williams Williams,"
839,"And Bishop Ellison, Rivera"
840,"And Bishop, Cardenas Wong"
841,"And Bishop, Johnson Ali"
842,"And Black Harris Johnson,"
843,"And Black Hernandez, Nichols"
844,"And Black Ruiz Lee,"
845,"And Black, Heath Winters"
846,"And Black, Henson Rhodes"
847,"And Black, Lane Drake"
848,"And Black, Meza Leach"
849,"And Blackburn Huff, Rios"
850,"And Blackburn Nielsen, White"
851,And Blackwell Sons
852,"And Blackwell Young, Thompson"
853,"And Blackwell, Moore Griffin"
854,"And Blair Rodriguez Wise,"
855,"And Blair, Bautista Cuevas"
856,"And Blair, Powell Kramer"
857,"And Blair, Smith Ellis"
858,"And Blair, Weiss Brooks"
859,"And Blake, Morris Clements"
860,"And Blake, Pham Daniel"
861,"And Blanchard Miller, Young"
862,"And Blanchard Walker, Barrett"
863,"And Blankenship Robbins Turner,"
864,"And Blevins Graham Wilkins,"
865,"And Blevins Reed, Mendoza"
866,"And Blevins, Perez Green"
867,"And Bond Lamb Ramos,"
868,"And Bond Pitts, Becker"
869,And Bond Sons
870,"And Bonilla Ellis Alvarado,"
871,"And Booker Hall Gonzalez,"
872,"And Boone Hodges, Herring"
873,"And Boone Palmer Horne,"
874,And Boone Sons
875,And Booth Sons
876,"And Bowen Barnett, Mcdonald"
877,"And Bowen Mccormick, Johnson"
878,"And Bowen, Rhodes Little"
879,"And Bowers Harrison Mckay,"
880,"And Bowers Morrow Conrad,"
881,"And Bowman Ingram Oconnor,"
882,"And Bowman Pope Thomas,"
883,"And Bowman Yang, Caldwell"
884,"And Bowman, Brown White"
885,"And Bowman, Ward Meyer"
886,"And Boyd Johnson, Mathews"
887,"And Boyd Powell, Sims"
888,"And Boyd Reed Chavez,"
889,And Boyd Sons
890,"And Boyd Weaver Diaz,"
891,"And Boyd West, Jones"
892,"And Boyd, Miller Berry"
893,"And Boyer Boone, Nelson"
894,"And Boyer Freeman Valdez,"
895,"And Boyer, Archer Lopez"
896,"And Boyle Boyer Lawrence,"
897,"And Bradford Becker Harvey,"
898,"And Bradley Bartlett Perry,"
899,"And Bradley Castaneda Anderson,"
900,"And Bradley Lewis, Green"
901,And Bradley Sons
902,"And Bradley Stout, Ramirez"
903,"And Bradley Travis Mays,"
904,"And Bradley, Bean Coleman"
905,"And Bradley, Cruz Strong"
906,"And Bradshaw Miller, Hood"
907,"And Bradshaw, Herrera Cook"
908,"And Bradshaw, Rowe Edwards"
909,"And Branch Benson Jones,"
910,"And Branch Dawson, Ruiz"
911,And Branch Sons
912,"And Branch, Vazquez Jackson"
913,"And Brandt Black, Wolfe"
914,"And Braun Clark, Jones"
915,And Braun Sons
916,"And Braun, Jones Glenn"
